,comp1,comp2,comp3
C1,-0.0819026841058557,-0.11451907940668138,0.09954672162111687
C2,0.19909521668561392,-0.09133713789456777,0.038647730973065925
C3,0.15346707221284334,0.2742910558682151,0.0738594600947199
C4,0.2007609022215792,0.33760108809832445,0.21581305340828127
C5,0.124704969850132,-0.12084420567286247,0.02316986431698157
C6,0.17482962083832254,-0.1028348459001692,-0.07239055760090657
C7,0.2796560086699535,0.05199594442636403,-0.056451479431502145
C8,0.19510345149364913,-0.14854637249535813,-0.007828995721039511
C9,0.21575312446076378,-0.08068210615060209,-0.09715684942946434
C10,0.16702534370974045,0.039033831846419814,-0.11005044830747351
C11,0.18350483244843696,-0.16803577920542057,-0.026102246173822882
C12,0.14137139572991694,-0.13603660889149063,-0.16046872834521955
C13,0.15657266007497286,-0.1575983363322642,-0.05236315604511965
C14,0.17415623061242164,-0.01096196599255977,-0.15155203617891988
C15,0.19155515252483013,0.38134621571156435,0.14866599021960217
C16,0.1387462864345158,-0.158079537681157,-0.04416481044764744
C17,0.17697362537722253,-0.21152852751088339,0.037576917772009014
C18,0.2482391487379395,-0.12116884348774287,0.09463328950490149
C19,0.18286348435280875,0.12706832359485126,-0.06008490348195031
C20,0.30654069056782346,0.0017171394259165188,-0.09793334512891701
C21,0.09595778978646419,0.14340964489583882,-0.04071811958567677
C22,-0.16584361982322893,-0.30393862908706704,0.33380029401519634
C23,-0.1989177174261911,0.13856189700109833,-0.10919424135489451
C24,-0.25633959724059835,0.014478387645320792,-0.12685215057883217
C25,-0.18342558642291196,-0.09226975891223944,-0.34835498102273965
C26,-0.19869097398650276,-0.13103960033114576,-0.1318880932591317
C27,-0.19792345011567214,-0.07916026489620295,-0.06694284789580067
C28,-0.17940949775989992,-0.07402000105074144,-0.13814508101491232
C29,-0.21856379536546441,0.2689233958070818,-0.039822694206462325
C30,-0.19361939860676503,-0.029059033523977443,0.11861341557906196
C31,-0.10523058095642929,-0.009999397376808342,0.5656467940412855
C32,-0.2862843176513571,0.23037320786877583,0.02026168692985356
C33,-0.2045268708012269,0.20835640322800025,0.14511409881471382
C34,-0.22822286369668837,0.16676136341198505,-0.11270477278340224
C35,-0.18797405588633573,0.044056184894093964,-0.14159603921996128
C36,-0.15880995439731607,-0.39583571014689956,0.2884029316076712
C37,-0.21341205843841776,0.030440942930309654,-0.07248254798624967
C38,-0.22889972994236757,0.1349393779598873,-0.22232086629998668
C39,-0.19902587941933556,0.24470800079519486,0.13852427983468774
C40,-0.01985437474738641,-0.10056666346240012,0.14529346276688274
