,comp2,comp3,comp4
CVJT01000011.50.2173,-0.012853677941090342,-0.005244092992708215,0.009499442998615827
CCPS01000022.154.1916,-0.007502018502572343,0.00850046629039338,-0.017550658737648033
KJ923794.1.1762,-0.012378586319227539,0.0012775584887271048,0.0010339682532548551
EU622687.1.1587,0.024459887882463612,0.01262373362162199,-0.019262045283784168
KY646024.1.1591,0.01251655543870684,-0.0011989162839825685,0.0035498111651091602
JUOP01000215.81.1657,0.007698785446333329,0.006616730326523966,0.005682302135224743
LG042641.312212.313771,-0.007610474043476255,-0.02309409602966923,-0.028532127788154185
AB559692.1.1569,-0.0011978827074318522,0.009131525709886608,0.00190006697833678
AY349382.1.1568,-0.02626231024587276,-0.02368685308416072,-0.03867056594618461
AB606407.1.1554,0.00968562918131742,-0.027353754915597595,-0.006119795020988968
AB969632.1.1565,0.006922360492733925,0.009219350740990577,0.007623049381004698
DQ394600.1.1565,0.018429376098367783,-0.0009513906695294101,-0.0005648770784814994
EU622770.1.1565,-0.04820699503770866,0.008463812251589218,-0.13092952700563149
DQ394665.1.1563,-0.013691422548241778,0.007352453615720349,0.002502647456219484
DQ394662.1.1562,0.00022028957037929076,0.005500633248248091,0.0032457004329584536
JQ805635.1.1591,-0.0034103584537727256,0.0015135718885269838,0.0018971778852186446
AY858424.1.1561,0.005423316471808629,-0.0012792266505541028,0.006891000760678949
DQ394666.1.1561,0.007039679457519972,0.0018547128567574045,0.004085411813115039
DQ105660.1.1557,0.0005478396598026664,0.005962649360079007,0.0006888125152861594
DQ288684.1.1556,-0.007017525998903738,-0.0043470034382608975,0.0017413160141537018
AB506139.1.1558,-0.004760846483115928,-0.00268354878112652,0.004831542889249726
AB606249.1.1546,0.012783087528831389,-0.008947227458811272,-0.016937285844593895
AB824407.1.1559,-0.005091310254401154,0.008789986128513817,0.002961195787458667
AB627542.1.1557,0.008134088680044822,0.005578777965379681,0.0027372643088953786
AATF01001055.137.1680,0.01008850220239016,0.007694446035404726,-0.042485538294962114
AY958894.1.1549,-0.0015936491422524606,0.01217621390359706,0.004045634464619
